question,votes,tags 
What does the “yield” keyword do?,10464,python iterator generator yield coroutine
What does if __name__ == “__main__”: do?,6262,python namespaces main python-module idioms
Does Python have a ternary conditional operator?,6202,python operators ternary-operator conditional-operator
What are metaclasses in Python?,5833,python oop metaclass python-datamodel
How do I check whether a file exists without exceptions?,5740,python file file-exists
How do I merge two dictionaries in a single expression in Python (taking union of dictionaries)?,5014,python dictionary merge
How to call an external command?,5002,python shell terminal subprocess command
How can I safely create a nested directory?,4378,python exception path directory operating-system
Accessing the index in 'for' loops?,3733,python loops list
Difference between staticmethod and classmethod,3687,python oop methods python-decorators
Does Python have a string 'contains' substring method?,3598,python string substring contains
How to make a flat list out of list of lists?,3563,python list multidimensional-array flatten
How do I list all files of a directory?,3471,python directory
Understanding slice notation,3440,python list slice iterable
How do I sort a dictionary by value?,3419,python sorting dictionary
Finding the index of an item in a list,3301,python list indexing
Iterating over dictionaries using 'for' loops,3245,python python-2.7 dictionary
How do I check if a list is empty?,3233,python list
Using global variables in a function,3193,python global-variables scope
What is the difference between Python's list methods append and extend?,3115,python list data-structures append extend
How to get the current time in Python,3002,python datetime time
Catch multiple exceptions in one line (except block),2852,python exception exception-handling
Difference between __str__ and __repr__?,2802,python magic-methods repr
How can I make a time delay in Python? [duplicate],2789,python delay sleep timedelay
How to make a chain of function decorators?,2787,python decorator python-decorators
How can I add new keys to a dictionary?,2710,python dictionary lookup
How do I pass a variable by reference?,2700,python reference parameter-passing pass-by-reference
Check if a given key already exists in a dictionary,2682,python dictionary
“Least Astonishment” and the Mutable Default Argument,2651,python language-design default-parameters least-astonishment
List changes unexpectedly after assignment. How do I clone or copy it to prevent this?,2642,python list copy clone
How do I concatenate two lists in Python?,2637,python list concatenation
How do I copy a file in Python?,2621,python file copy filesystems file-copying
Understanding Python super() with __init__() methods [duplicate],2596,python class oop inheritance super
How can I install pip on Windows?,2565,python windows installation pip easy-install
What is __init__.py for?,2456,python module package python-packaging
Convert bytes to a string,2454,python string python-3.x
What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,2437,python syntax parameter-passing variadic-functions argument-unpacking
How do you split a list into evenly sized chunks?,2343,python list split chunks
Manually raising (throwing) an exception in Python,2338,python exception
How do I parse a string to a float or int?,2312,python parsing floating-point type-conversion integer
Find current directory and file's directory [duplicate],2283,python directory
How to delete a file or folder?,2237,python file-io directory delete-file
Converting string into datetime,2228,python datetime
How to print colored text in Python?,2218,python terminal output ansi-colors
How to access environment variable values?,2214,python environment-variables
How do I get a substring of a string in Python?,2203,python string substring
Why is “1000000000000000 in range(1000000000000001)” so fast in Python 3?,2183,python performance python-3.x range python-internals
How do you change the size of figures drawn with matplotlib?,2166,python graph matplotlib plot visualization
How to iterate over rows in a DataFrame in Pandas,2156,python pandas rows dataframe
Getting the last element of a list,2151,python list indexing
